CustomerID,Age,Gender,Income,Purchases,Purchase_Frequency,Average_Purchase_Value,Tenure_Years,Engagement_Score,Churn
1047,26.0,M,77854.0,34.0,3,2550,8.7,93.0,0
1048,43.0,M,60262.0,8.0,1,1665,7.4,31.0,1
1049,19.0,Male,57080.0,19.0,12,9067,7.6,47.0,0
1050,37.0,F,21324.0,37.0,8,2533,4.5,55.0,0
1051,45.0,M,111267.0,6.0,2,6967,3.8,80.0,0
1052,64.0,male,55909.0,26.0,3,645,4.0,62.0,0
1053,24.0,female,109339.0,34.0,8,4888,9.9,30.0,0
1054,61.0,Male,39870.0,6.0,14,8332,0.9,55.0,0
1055,25.0,female,54578.0,37.0,8,9123,8.7,16.0,0
1056,64.0,M,92124.0,33.0,14,9396,6.0,12.0,0
1057,52.0,M,46790.0,22.0,11,8673,4.7,17.0,0
1058,31.0,Male,45289.0,21.0,4,3132,7.4,16.0,1
1059,34.0,male,75129.0,6.0,4,4994,5.1,12.0,0
1060,53.0,Female,113714.0,6.0,5,8556,8.8,8.0,1
1061,57.0,Male,114246.0,4.0,6,8011,9.1,84.0,0
1062,21.0,Female,35485.0,30.0,5,9655,4.5,3.0,1
1063,19.0,F,64482.0,11.0,14,2328,3.1,16.0,1
1064,23.0,Female,106188.0,30.0,7,9630,6.1,30.0,1
1065,59.0,male,24748.0,31.0,2,5305,9.2,23.0,1
1066,21.0,F,106769.0,24.0,7,1306,2.5,92.0,1
1067,46.0,Female,29435.0,9.0,10,7986,6.4,5.0,1
1068,35.0,F,23709.0,3.0,7,8702,6.5,84.0,0
1069,43.0,Female,50355.0,31.0,1,2368,7.5,65.0,0
1070,61.0,male,75771.0,37.0,7,8378,1.7,30.0,0
1071,51.0,Female,77799.0,36.0,5,6190,7.3,21.0,1
1072,27.0,Female,33116.0,24.0,3,8327,9.1,84.0,1
1073,53.0,Female,45470.0,31.0,13,5929,2.2,70.0,0
1074,31.0,Male,62344.0,6.0,3,9576,2.8,22.0,1
1075,48.0,Male,62918.0,2.0,4,4064,9.7,82.0,0
1076,32.0,,72224.0,20.0,13,1889,2.2,72.0,0
1077,25.0,male,59298.0,28.0,12,7774,8.6,32.0,1
1078,31.0,F,100219.0,11.0,2,1324,5.2,33.0,1
1079,40.0,M,81629.0,4.0,2,2765,2.8,16.0,1
1080,57.0,Female,86040.0,15.0,1,1436,8.8,76.0,1
1081,38.0,Female,119518.0,6.0,5,6902,4.7,38.0,0
1082,33.0,male,119835.0,30.0,4,4345,5.4,98.0,0
1083,62.0,Female,48016.0,38.0,11,2296,3.9,14.0,0
1084,35.0,Male,43960.0,2.0,10,8745,6.1,36.0,0
1085,64.0,M,53591.0,15.0,2,7714,2.1,97.0,0
1086,41.0,female,102848.0,11.0,3,1226,4.2,23.0,1
1087,43.0,Female,87641.0,8.0,7,3236,9.7,66.0,0
1088,42.0,Male,56395.0,26.0,7,2413,3.0,85.0,0
1089,62.0,female,42700.0,5.0,12,8157,6.7,2.0,0
1090,58.0,M,54620.0,6.0,4,2966,3.6,91.0,1
1091,46.0,female,40559.0,26.0,5,9541,7.8,73.0,0
1092,32.0,Male,113045.0,4.0,5,7812,1.7,65.0,0
1093,62.0,F,113396.0,19.0,6,8694,9.7,75.0,0
1094,18.0,F,81642.0,20.0,14,8406,4.8,67.0,0
1095,42.0,female,96539.0,33.0,9,5376,2.7,52.0,0
1096,24.0,male,41732.0,20.0,2,7787,1.2,62.0,1
1097,26.0,female,111362.0,12.0,5,1392,2.1,23.0,0
1098,41.0,Female,50354.0,1.0,12,5175,5.4,26.0,1
1099,18.0,Female,33843.0,26.0,3,2433,3.7,68.0,0
1100,61.0,F,91726.0,14.0,4,1880,8.4,82.0,1
1101,25.0,male,37640.0,38.0,10,1790,4.6,55.0,0
1102,41.0,Male,72528.0,37.0,6,2140,2.9,6.0,1
1103,28.0,Female,58413.0,11.0,12,7990,6.4,35.0,0
1104,34.0,F,72638.0,36.0,8,9679,7.2,22.0,0
1105,25.0,M,72736.0,13.0,1,1718,2.1,43.0,1
1106,52.0,F,88866.0,3.0,10,5516,2.1,15.0,1
1107,52.0,Female,39087.0,33.0,14,7381,0.8,86.0,0
1108,50.0,Female,61430.0,6.0,8,1454,7.5,60.0,1
1109,22.0,F,44504.0,10.0,11,9675,6.8,12.0,0
1110,59.0,Male,27114.0,5.0,14,7791,5.0,49.0,0
1111,56.0,female,98859.0,23.0,7,1474,8.5,42.0,1
1112,58.0,Female,119657.0,10.0,1,4633,8.2,38.0,1
1113,45.0,F,30975.0,2.0,2,5870,6.1,82.0,0
1114,24.0,F,31023.0,13.0,3,4472,8.7,45.0,1
1115,26.0,male,41447.0,2.0,1,5795,2.5,35.0,0
1116,25.0,female,110469.0,20.0,14,9605,1.6,30.0,1
1117,29.0,M,43959.0,1.0,9,8728,3.1,88.0,1
1118,51.0,Male,86203.0,37.0,8,3520,1.0,30.0,0
1119,50.0,M,49703.0,9.0,2,9487,5.5,78.0,1
1120,40.0,female,29337.0,17.0,13,4536,9.4,6.0,0
1121,41.0,female,66427.0,9.0,9,5568,0.9,,0
1122,54.0,female,81529.0,11.0,7,5733,1.7,80.0,0
1123,52.0,M,104665.0,15.0,9,817,4.8,7.0,0
1124,61.0,female,51921.0,24.0,6,2896,9.4,52.0,0
1125,57.0,F,53307.0,38.0,6,2662,3.5,14.0,0
1126,39.0,M,47355.0,35.0,11,3245,5.3,73.0,0
1127,44.0,female,24835.0,30.0,14,2091,0.9,15.0,0
1128,52.0,F,40159.0,31.0,4,6683,1.9,21.0,0
1129,18.0,male,67605.0,5.0,10,4430,9.9,35.0,0
1130,52.0,female,58088.0,14.0,10,1812,9.7,66.0,0
1131,54.0,M,98752.0,11.0,13,9977,0.5,91.0,0
1132,64.0,Female,75284.0,9.0,13,4811,9.5,2.0,0
1133,31.0,female,77043.0,34.0,2,7814,6.6,35.0,0
1134,20.0,Female,55547.0,12.0,7,2883,8.7,82.0,0
1135,18.0,F,117007.0,35.0,5,3739,4.8,78.0,0
1136,22.0,male,102844.0,35.0,11,2639,5.4,20.0,0
1137,43.0,Male,47532.0,1.0,6,2204,5.1,82.0,0
1138,31.0,male,54349.0,22.0,2,7424,6.8,10.0,1
1139,56.0,female,65445.0,29.0,5,862,1.8,25.0,0
1140,44.0,Female,25713.0,8.0,10,3104,0.8,66.0,1
1141,26.0,Female,76178.0,11.0,4,4786,3.4,25.0,1
1142,32.0,M,69407.0,37.0,9,4238,7.2,54.0,0
1143,32.0,Female,90340.0,14.0,6,2969,2.4,33.0,0
1144,43.0,M,70990.0,30.0,2,5295,6.9,36.0,0
1145,59.0,F,95672.0,35.0,1,6650,9.7,95.0,0
1146,30.0,Male,85545.0,21.0,5,1056,1.4,14.0,0
1147,49.0,female,104791.0,37.0,9,9517,6.9,65.0,0
1148,56.0,M,78141.0,5.0,6,3308,4.7,80.0,0
1149,49.0,Male,43793.0,19.0,10,5650,8.7,54.0,0
1150,21.0,Female,76570.0,14.0,12,8061,2.2,52.0,0
1151,47.0,Female,115084.0,26.0,7,3219,7.1,3.0,1
1152,54.0,Male,57892.0,4.0,5,7006,8.5,99.0,0
1153,40.0,Female,21015.0,25.0,10,4241,9.5,41.0,0
1154,56.0,F,81813.0,25.0,6,4498,7.0,6.0,0
1155,62.0,F,47712.0,18.0,5,2903,5.2,25.0,1
1156,32.0,Male,28415.0,8.0,11,9280,6.4,13.0,0
1157,60.0,M,82292.0,39.0,9,794,8.8,98.0,0
1158,46.0,M,43833.0,14.0,6,5843,5.9,8.0,0
1159,53.0,Male,24158.0,32.0,11,1636,0.8,21.0,0
1160,30.0,M,82680.0,38.0,8,2564,9.3,98.0,0
1161,49.0,M,40309.0,33.0,2,7509,7.1,68.0,0
1162,24.0,F,26970.0,23.0,12,5043,6.9,25.0,1
1163,39.0,M,92474.0,15.0,13,1507,2.5,79.0,0
1164,45.0,male,106704.0,33.0,9,5945,6.8,68.0,0
1165,19.0,female,66540.0,25.0,5,5852,4.2,45.0,0
1166,59.0,Female,40384.0,17.0,7,9939,6.7,60.0,1
1167,62.0,male,38017.0,33.0,10,1935,1.5,12.0,1
1168,23.0,M,95880.0,2.0,13,1071,6.7,32.0,0
1169,45.0,F,28702.0,14.0,1,2882,10.0,96.0,0
1170,45.0,Male,20384.0,39.0,10,9937,1.0,92.0,0
1171,61.0,M,20404.0,6.0,5,5584,9.8,13.0,1
1172,61.0,F,60943.0,6.0,12,777,4.4,31.0,0
1173,37.0,female,67926.0,3.0,14,7559,8.8,78.0,0
1174,47.0,M,49189.0,7.0,10,2387,7.9,20.0,0
1175,28.0,Male,32763.0,8.0,14,1765,5.9,18.0,0
1176,45.0,F,38384.0,15.0,2,7991,7.5,93.0,1
1177,42.0,F,80100.0,29.0,12,1540,8.8,60.0,1
1178,56.0,F,118142.0,33.0,6,9609,4.3,63.0,1
1179,50.0,female,29860.0,30.0,11,8573,3.6,6.0,0
1180,18.0,M,100642.0,39.0,1,9577,6.8,32.0,0
1181,44.0,female,70612.0,27.0,3,3252,8.2,93.0,1
1182,30.0,Female,43574.0,36.0,5,8713,7.7,43.0,0
1183,58.0,Female,43524.0,29.0,4,5069,8.1,2.0,0
1184,20.0,M,89172.0,38.0,3,6853,4.6,60.0,0
1185,56.0,female,30916.0,33.0,10,2853,8.3,23.0,1
1186,23.0,Male,24809.0,37.0,13,7937,1.6,83.0,0
1187,25.0,F,52201.0,27.0,5,5299,5.7,31.0,1
1188,44.0,F,73330.0,33.0,11,1186,0.6,5.0,1
1189,26.0,M,33456.0,4.0,8,8976,3.6,83.0,0
1190,54.0,Female,76397.0,22.0,11,5311,4.0,34.0,1
1191,50.0,Female,58765.0,2.0,4,9454,4.3,10.0,1
1192,59.0,F,54816.0,10.0,1,5846,7.1,89.0,0
1193,61.0,M,65106.0,5.0,11,5543,4.2,2.0,1
1194,41.0,female,73932.0,10.0,7,2928,4.8,11.0,1
1195,32.0,Female,37100.0,33.0,8,5626,2.8,50.0,0
1196,49.0,female,77091.0,38.0,3,8720,4.0,31.0,1
1197,49.0,Female,41949.0,13.0,6,9598,2.7,56.0,1
1198,41.0,Female,90080.0,31.0,2,8313,1.2,79.0,0
1199,58.0,male,57744.0,36.0,7,3856,6.2,73.0,0
1200,29.0,Female,65543.0,24.0,8,9207,6.8,87.0,1
1201,56.0,Male,112193.0,15.0,6,7766,6.4,83.0,1
1202,19.0,M,56187.0,29.0,6,7040,4.9,9.0,1
1203,20.0,M,27239.0,8.0,5,538,4.1,99.0,0
1204,54.0,female,34489.0,5.0,8,3842,8.7,21.0,1
1205,34.0,Female,78017.0,29.0,1,9578,5.4,73.0,0
1206,19.0,Male,81877.0,4.0,10,3344,5.1,28.0,1
1207,19.0,female,63125.0,12.0,4,1598,0.7,62.0,0
1208,45.0,male,69922.0,2.0,4,7527,3.7,7.0,0
1209,40.0,female,114074.0,27.0,3,2323,4.1,80.0,0
1210,54.0,female,52049.0,31.0,3,3655,4.3,16.0,0
1211,49.0,Female,57131.0,36.0,4,3593,6.0,97.0,0
1212,50.0,male,62944.0,36.0,11,6158,5.6,4.0,0
1213,18.0,female,93963.0,26.0,1,4278,6.3,4.0,1
1214,36.0,Male,44285.0,27.0,14,3396,7.8,40.0,0
1215,19.0,Male,57626.0,5.0,11,1488,8.2,17.0,1
1216,61.0,M,62808.0,20.0,13,4616,7.3,52.0,1
1217,43.0,male,108464.0,11.0,11,6946,9.6,93.0,1
1218,49.0,male,73871.0,10.0,2,4679,0.7,52.0,0
1219,23.0,M,39198.0,38.0,9,2182,2.4,36.0,0
1220,49.0,female,39758.0,6.0,10,6126,0.6,38.0,1
1221,21.0,male,35254.0,8.0,2,7924,6.7,50.0,1
1222,28.0,Male,64238.0,23.0,5,1433,9.0,63.0,0
1223,34.0,Male,21252.0,26.0,9,4098,2.8,63.0,1
1224,55.0,Female,59764.0,12.0,9,2480,9.3,62.0,0
1225,41.0,male,97709.0,26.0,8,3556,1.1,99.0,0
1226,22.0,female,57441.0,13.0,1,9484,9.4,7.0,1
1227,51.0,M,112234.0,18.0,1,1291,3.8,27.0,0
1228,23.0,M,73682.0,25.0,9,5890,1.5,92.0,0
1229,39.0,female,79494.0,33.0,13,7135,5.1,86.0,0
1230,28.0,F,101317.0,12.0,11,2755,2.9,14.0,0
1231,33.0,Female,85215.0,36.0,8,4110,3.2,71.0,0
1232,50.0,M,98587.0,4.0,10,2107,3.4,86.0,0
1233,26.0,male,26949.0,5.0,9,5679,8.1,5.0,1
1234,23.0,Female,75393.0,37.0,7,7073,5.6,55.0,0
1235,33.0,male,93553.0,8.0,3,1484,3.5,2.0,0
1236,46.0,Male,26941.0,28.0,3,6276,6.3,62.0,0
1237,20.0,Female,45934.0,31.0,2,4176,7.3,91.0,1
1238,37.0,M,43386.0,9.0,5,3880,3.1,21.0,0
1239,53.0,Female,81886.0,29.0,12,9211,4.4,79.0,0
1240,36.0,Female,95745.0,14.0,12,9282,1.7,21.0,0
1241,43.0,Female,103251.0,22.0,3,1550,2.2,10.0,1
1242,20.0,F,114456.0,11.0,14,4133,7.0,87.0,0
1243,36.0,Female,73413.0,23.0,6,6842,2.2,58.0,0
1244,37.0,male,76800.0,1.0,2,1459,5.5,39.0,1
1245,49.0,Male,117239.0,37.0,12,6559,7.2,5.0,0
1246,24.0,female,62318.0,21.0,3,9384,1.5,65.0,0
1247,58.0,Female,90173.0,26.0,5,6155,5.9,13.0,1
1248,50.0,M,90390.0,36.0,12,4973,2.9,85.0,1
1249,57.0,Female,72329.0,23.0,11,3446,9.6,90.0,0
1250,56.0,M,63088.0,1.0,11,8225,5.1,85.0,0
1251,35.0,male,59811.0,15.0,1,1026,8.2,53.0,0
1252,57.0,M,75479.0,21.0,13,3724,5.7,82.0,0
1253,18.0,female,105392.0,9.0,1,2375,0.9,45.0,0
1254,28.0,Male,107369.0,9.0,10,2263,6.5,32.0,1
1255,45.0,M,39963.0,10.0,9,9212,9.5,36.0,1
1256,42.0,M,75123.0,26.0,7,6297,6.2,81.0,1
1257,40.0,Male,112705.0,35.0,1,9708,8.3,99.0,0
1258,48.0,female,93477.0,25.0,12,7599,8.9,60.0,0
1259,47.0,Female,34388.0,26.0,14,5609,2.7,11.0,0
1260,59.0,M,25569.0,11.0,8,7144,2.5,63.0,1
1261,52.0,Male,89836.0,38.0,3,616,6.3,21.0,0
1262,24.0,male,56586.0,2.0,8,2933,4.4,52.0,1
1263,33.0,Male,32015.0,7.0,5,5963,8.5,55.0,1
1264,43.0,male,65002.0,18.0,1,1083,9.1,26.0,0
1265,19.0,female,26254.0,27.0,7,9086,3.9,68.0,0
1266,18.0,Female,37144.0,34.0,5,4288,2.8,34.0,0
1267,29.0,Male,44214.0,27.0,6,4667,7.9,52.0,1
1268,22.0,F,100719.0,17.0,6,8965,3.1,82.0,0
1269,54.0,M,91774.0,24.0,8,1889,8.3,99.0,0
1270,49.0,female,26090.0,25.0,9,8857,4.5,93.0,0
1271,26.0,Male,31637.0,7.0,2,6654,6.8,52.0,1
1272,58.0,M,42415.0,6.0,9,5920,1.4,29.0,1
1273,52.0,Male,44071.0,24.0,12,9420,6.4,38.0,0
1274,36.0,male,78243.0,33.0,11,2543,4.8,42.0,1
1275,33.0,Male,61240.0,29.0,10,4697,6.1,21.0,0
1276,20.0,F,103807.0,22.0,9,3996,2.1,42.0,0
1277,37.0,Male,53434.0,26.0,13,1278,7.5,13.0,1
1278,41.0,Male,89724.0,28.0,10,713,8.7,64.0,1
1279,50.0,F,95697.0,21.0,10,4262,2.6,17.0,0
1280,41.0,female,48732.0,7.0,7,7231,1.4,9.0,1
1281,28.0,Male,31314.0,17.0,1,3617,0.7,41.0,1
1282,25.0,F,43954.0,20.0,7,6291,6.6,1.0,1
1283,53.0,M,77108.0,20.0,10,9283,6.3,2.0,0
1284,55.0,male,107044.0,22.0,5,3220,5.7,60.0,1
1285,57.0,male,107505.0,28.0,6,9405,2.7,48.0,0
1286,37.0,Male,56668.0,7.0,10,9627,4.2,29.0,0
1287,52.0,female,43061.0,1.0,7,6547,6.1,97.0,0
1288,42.0,female,99252.0,32.0,14,8532,5.2,10.0,0
1289,52.0,M,59749.0,13.0,5,501,9.9,58.0,0
1290,42.0,Male,36907.0,30.0,7,6868,1.8,60.0,1
1291,46.0,male,38777.0,23.0,9,2449,7.1,21.0,1
1292,35.0,female,113229.0,19.0,3,7232,4.3,28.0,1
1293,63.0,Male,71745.0,32.0,8,8333,4.6,75.0,0
1294,35.0,female,111865.0,30.0,2,1417,7.3,34.0,0
1295,19.0,F,101818.0,29.0,11,3674,7.1,8.0,1
1296,52.0,female,43624.0,29.0,7,7514,9.9,59.0,0
1297,33.0,male,43321.0,30.0,13,589,1.7,86.0,0
1298,58.0,Female,30488.0,16.0,2,2209,1.5,72.0,0
1299,53.0,M,42574.0,19.0,14,3541,7.4,49.0,1
1300,50.0,M,25240.0,18.0,4,605,6.0,79.0,0
1016,20.0,F,43714.0,24.0,13,4778,9.0,60.0,0
