CustomerID,Age,Gender,Income,Purchases,Purchase_Frequency,Average_Purchase_Value,Tenure_Years,Engagement_Score,Churn,Income_K,Total_Spending,Purchase_Intensity,Customer_Value,Age_Group
1025,50.0,Female,92592.0,35.0,12,9823,2.8,67.0,0,92.592,343805.0,9.210526315789474,268441.1,Middle Age
1026,29.0,Male,97052.0,15.0,1,9002,2.0,44.0,0,97.052,135030.0,5.0,123636.6,Adult
1027,39.0,Female,64261.0,25.0,7,9430,8.8,58.0,0,64.261,235750.0,2.5510204081632653,184303.3,Middle Age
1028,61.0,Male,21542.0,37.0,7,3741,2.6,3.0,0,21.542,138417.0,10.277777777777777,103354.5,Senior
1029,42.0,Male,41677.0,28.0,12,1045,9.8,86.0,1,41.677,29260.0,2.5925925925925926,32985.1,Middle Age
1030,44.0,Female,66732.0,10.0,2,4846,3.7,70.0,1,66.732,48460.0,2.127659574468085,53941.6,Middle Age
1031,59.0,Male,70343.0,39.0,7,4310,2.2,2.0,0,70.343,168090.0,12.1875,138765.9,Senior
1032,45.0,Male,59081.0,17.0,13,7706,8.0,87.0,1,59.081,131002.0,1.8888888888888888,109425.7,Middle Age
1033,33.0,Female,82856.0,39.0,8,9505,6.8,44.0,0,82.856,370695.0,5.0,284343.3,Adult
1034,32.0,Male,113105.0,22.0,1,2532,5.2,2.0,1,113.105,55704.0,3.5483870967741935,72924.29999999999,Adult
1035,64.0,Male,108858.0,26.0,9,8936,5.8,81.0,0,108.858,232336.0,3.823529411764706,195292.59999999998,Senior
1036,61.0,Male,39065.0,25.0,7,771,7.3,35.0,0,39.065,19275.0,3.012048192771084,25212.0,Senior
1037,20.0,Female,103460.0,17.0,3,4011,2.7,98.0,0,103.46,68187.0,4.594594594594595,78768.9,Young
1038,54.0,Female,108092.0,13.0,8,2271,10.0,87.0,1,108.092,29523.0,1.1818181818181819,53093.7,Senior
1039,24.0,Female,74693.0,20.0,7,9954,9.8,30.0,1,74.693,199080.0,1.8518518518518516,161763.9,Young
1040,38.0,Male,46962.0,25.0,11,4861,6.7,8.0,1,46.962,121525.0,3.2467532467532467,99156.1,Middle Age
1041,26.0,Female,48295.0,4.0,13,7569,2.4,22.0,0,48.295,30276.0,1.1764705882352942,35681.7,Adult
1042,56.0,Male,33807.0,10.0,8,1420,7.0,44.0,0,33.807,14200.0,1.25,20082.1,Senior
1043,35.0,Female,62348.0,3.0,6,8690,1.2,58.0,0,62.348,26070.0,1.3636363636363635,36953.399999999994,Adult
1044,21.0,Male,46432.0,18.0,9,3930,0.8,36.0,0,46.432,70740.0,10.0,63447.6,Young
1045,42.0,Female,103285.0,36.0,5,4935,2.9,69.0,0,103.285,177660.0,9.230769230769232,155347.5,Middle Age
1046,31.0,Male,111792.0,21.0,3,4260,4.9,77.0,1,111.792,89460.0,3.559322033898305,96159.59999999999,Adult
1047,26.0,Male,77854.0,34.0,3,2550,8.7,93.0,0,77.854,86700.0,3.505154639175258,84046.2,Adult
1048,43.0,Male,60262.0,8.0,1,1665,7.4,31.0,1,60.262,13320.0,0.9523809523809523,27402.6,Middle Age
1049,19.0,Male,57080.0,19.0,12,9067,7.6,47.0,0,57.08,172273.0,2.2093023255813953,137715.09999999998,Young
1050,37.0,Female,21324.0,37.0,8,2533,4.5,55.0,0,21.324,93721.0,6.7272727272727275,72001.9,Middle Age
1051,45.0,Male,111267.0,6.0,2,6967,3.8,80.0,0,111.267,41802.0,1.25,62641.5,Middle Age
1052,64.0,Male,55909.0,26.0,3,645,4.0,62.0,0,55.909,16770.0,5.2,28511.7,Senior
1053,24.0,Female,109339.0,34.0,8,4888,9.9,30.0,0,109.339,166192.0,3.1192660550458715,149136.09999999998,Young
1054,61.0,Male,39870.0,6.0,14,8332,0.9,55.0,0,39.87,49992.0,3.1578947368421053,46955.399999999994,Senior
1055,25.0,Female,54578.0,37.0,8,9123,8.7,16.0,0,54.578,337551.0,3.814432989690722,252659.09999999998,Young
1056,64.0,Male,92124.0,33.0,14,9396,6.0,12.0,0,92.124,310068.0,4.714285714285714,244684.8,Senior
1057,52.0,Male,46790.0,22.0,11,8673,4.7,17.0,0,46.79,190806.0,3.8596491228070176,147601.19999999998,Senior
1058,31.0,Male,45289.0,21.0,4,3132,7.4,16.0,1,45.289,65772.0,2.5,59627.09999999999,Adult
1059,34.0,Male,75129.0,6.0,4,4994,5.1,12.0,0,75.129,29964.0,0.9836065573770493,43513.5,Adult
1060,53.0,Female,113714.0,6.0,5,8556,8.8,8.0,1,113.714,51336.0,0.6122448979591836,70049.4,Senior
1061,57.0,Male,114246.0,4.0,6,8011,9.1,84.0,0,114.246,32044.0,0.39603960396039606,56704.59999999999,Senior
1062,21.0,Female,35485.0,30.0,5,9655,4.5,3.0,1,35.485,289650.0,5.454545454545454,213400.5,Young
1063,19.0,Female,64482.0,11.0,14,2328,3.1,16.0,1,64.482,25608.0,2.682926829268293,37270.2,Young
1064,23.0,Female,106188.0,30.0,7,9630,6.1,30.0,1,106.188,288900.0,4.225352112676057,234086.4,Young
1065,59.0,Male,24748.0,31.0,2,5305,9.2,23.0,1,24.748,164455.0,3.03921568627451,122542.89999999998,Senior
1066,21.0,Female,106769.0,24.0,7,1306,2.5,92.0,1,106.769,31344.0,6.857142857142857,53971.5,Young
1067,46.0,Female,29435.0,9.0,10,7986,6.4,5.0,1,29.435,71874.0,1.2162162162162162,59142.299999999996,Middle Age
1068,35.0,Female,23709.0,3.0,7,8702,6.5,84.0,0,23.709,26106.0,0.4,25386.899999999998,Adult
1069,43.0,Female,50355.0,31.0,1,2368,7.5,65.0,0,50.355,73408.0,3.6470588235294117,66492.1,Middle Age
1070,61.0,Male,75771.0,37.0,7,8378,1.7,30.0,0,75.771,309986.0,13.703703703703702,239721.49999999997,Senior
1071,51.0,Female,77799.0,36.0,5,6190,7.3,21.0,1,77.799,222840.0,4.337349397590361,179327.7,Senior
1072,27.0,Female,33116.0,24.0,3,8327,9.1,84.0,1,33.116,199848.0,2.376237623762376,149828.39999999997,Adult
1073,53.0,Female,45470.0,31.0,13,5929,2.2,70.0,0,45.47,183799.0,9.6875,142300.3,Senior
1074,31.0,Male,62344.0,6.0,3,9576,2.8,22.0,1,62.344,57456.0,1.5789473684210527,58922.399999999994,Adult
1075,48.0,Male,62918.0,2.0,4,4064,9.7,82.0,0,62.918,8128.0,0.1869158878504673,24564.999999999996,Middle Age
1076,32.0,Female,72224.0,20.0,13,1889,2.2,72.0,0,72.224,37780.0,6.25,48113.2,Adult
1077,25.0,Male,59298.0,28.0,12,7774,8.6,32.0,1,59.298,217672.0,2.916666666666667,170159.8,Young
1078,31.0,Female,100219.0,11.0,2,1324,5.2,33.0,1,100.219,14564.0,1.7741935483870968,40260.5,Adult
1079,40.0,Male,81629.0,4.0,2,2765,2.8,16.0,1,81.629,11060.0,1.0526315789473684,32230.7,Middle Age
1080,57.0,Female,86040.0,15.0,1,1436,8.8,76.0,1,86.04,21540.0,1.530612244897959,40890.0,Senior
1081,38.0,Female,119518.0,6.0,5,6902,4.7,38.0,0,119.518,41412.0,1.0526315789473684,64843.8,Middle Age
1082,33.0,Male,119835.0,30.0,4,4345,5.4,98.0,0,119.835,130350.0,4.6875,127195.5,Adult
1083,62.0,Female,48016.0,38.0,11,2296,3.9,14.0,0,48.016,87248.0,7.755102040816326,75478.4,Senior
1084,35.0,Male,43960.0,2.0,10,8745,6.1,36.0,0,43.96,17490.0,0.28169014084507044,25431.0,Adult
1085,64.0,Male,53591.0,15.0,2,7714,2.1,97.0,0,53.591,115710.0,4.838709677419355,97074.3,Senior
1086,41.0,Female,102848.0,11.0,3,1226,4.2,23.0,1,102.848,13486.0,2.1153846153846154,40294.6,Middle Age
1087,43.0,Female,87641.0,8.0,7,3236,9.7,66.0,0,87.641,25888.0,0.7476635514018692,44413.899999999994,Middle Age
1088,42.0,Male,56395.0,26.0,7,2413,3.0,85.0,0,56.395,62738.0,6.5,60835.1,Middle Age
1089,62.0,Female,42700.0,5.0,12,8157,6.7,2.0,0,42.7,40785.0,0.6493506493506493,41359.5,Senior
1090,58.0,Male,54620.0,6.0,4,2966,3.6,91.0,1,54.62,17796.0,1.3043478260869565,28843.199999999997,Senior
1091,46.0,Female,40559.0,26.0,5,9541,7.8,73.0,0,40.559,248066.0,2.954545454545454,185813.9,Middle Age
1092,32.0,Male,113045.0,4.0,5,7812,1.7,65.0,0,113.045,31248.0,1.4814814814814814,55787.1,Adult
1093,62.0,Female,113396.0,19.0,6,8694,9.7,75.0,0,113.396,165186.0,1.7757009345794394,149649.0,Senior
1094,18.0,Female,81642.0,20.0,14,8406,4.8,67.0,0,81.642,168120.0,3.4482758620689657,142176.59999999998,Young
1095,42.0,Female,96539.0,33.0,9,5376,2.7,52.0,0,96.539,177408.0,8.91891891891892,153147.3,Middle Age
1096,24.0,Male,41732.0,20.0,2,7787,1.2,62.0,1,41.732,155740.0,9.09090909090909,121537.6,Young
1097,26.0,Female,111362.0,12.0,5,1392,2.1,23.0,0,111.362,16704.0,3.8709677419354835,45101.399999999994,Adult
1098,41.0,Female,50354.0,1.0,12,5175,5.4,26.0,1,50.354,5175.0,0.15625,18728.699999999997,Middle Age
1099,18.0,Female,33843.0,26.0,3,2433,3.7,68.0,0,33.843,63258.0,5.531914893617021,54433.5,Young
1100,61.0,Female,91726.0,14.0,4,1880,8.4,82.0,1,91.726,26320.0,1.4893617021276595,45941.8,Senior
1101,25.0,Male,37640.0,38.0,10,1790,4.6,55.0,0,37.64,68020.0,6.7857142857142865,58906.0,Young
1102,41.0,Male,72528.0,37.0,6,2140,2.9,6.0,1,72.528,79180.0,9.487179487179487,77184.4,Middle Age
1103,28.0,Female,58413.0,11.0,12,7990,6.4,35.0,0,58.413,87890.0,1.4864864864864864,79046.9,Adult
1104,34.0,Female,72638.0,36.0,8,9679,7.2,22.0,0,72.638,348444.0,4.390243902439025,265702.2,Adult
1105,25.0,Male,72736.0,13.0,1,1718,2.1,43.0,1,72.736,22334.0,4.193548387096774,37454.6,Young
1106,52.0,Female,88866.0,3.0,10,5516,2.1,15.0,1,88.866,16548.0,0.9677419354838709,38243.399999999994,Senior
1107,52.0,Female,39087.0,33.0,14,7381,0.8,86.0,0,39.087,243573.0,18.333333333333332,182227.19999999998,Senior
1108,50.0,Female,61430.0,6.0,8,1454,7.5,60.0,1,61.43,8724.0,0.7058823529411765,24535.8,Middle Age
1109,22.0,Female,44504.0,10.0,11,9675,6.8,12.0,0,44.504,96750.0,1.2820512820512822,81076.2,Young
1110,59.0,Male,27114.0,5.0,14,7791,5.0,49.0,0,27.114,38955.0,0.8333333333333334,35402.7,Senior
1111,56.0,Female,98859.0,23.0,7,1474,8.5,42.0,1,98.859,33902.0,2.4210526315789473,53389.09999999999,Senior
1112,58.0,Female,119657.0,10.0,1,4633,8.2,38.0,1,119.657,46330.0,1.0869565217391306,68328.09999999999,Senior
1113,45.0,Female,30975.0,2.0,2,5870,6.1,82.0,0,30.975,11740.0,0.28169014084507044,17510.5,Middle Age
1114,24.0,Female,31023.0,13.0,3,4472,8.7,45.0,1,31.023,58136.0,1.3402061855670104,50002.1,Young
1115,26.0,Male,41447.0,2.0,1,5795,2.5,35.0,0,41.447,11590.0,0.5714285714285714,20547.1,Adult
1116,25.0,Female,110469.0,20.0,14,9605,1.6,30.0,1,110.469,192100.0,7.692307692307692,167610.7,Young
1117,29.0,Male,43959.0,1.0,9,8728,3.1,88.0,1,43.959,8728.0,0.24390243902439027,19297.3,Adult
1118,51.0,Male,86203.0,37.0,8,3520,1.0,30.0,0,86.203,130240.0,18.5,117028.9,Senior
1119,50.0,Male,49703.0,9.0,2,9487,5.5,78.0,1,49.703,85383.0,1.3846153846153846,74679.0,Middle Age
1120,40.0,Female,29337.0,17.0,13,4536,9.4,6.0,0,29.337,77112.0,1.6346153846153846,62779.49999999999,Middle Age
1121,41.0,Female,66427.0,9.0,9,5568,0.9,45.0,0,66.427,50112.0,4.736842105263158,55006.49999999999,Middle Age
1122,54.0,Female,81529.0,11.0,7,5733,1.7,80.0,0,81.529,63063.0,4.0740740740740735,68602.8,Senior
1123,52.0,Male,104665.0,15.0,9,817,4.8,7.0,0,104.665,12255.0,2.586206896551724,39978.0,Senior
1124,61.0,Female,51921.0,24.0,6,2896,9.4,52.0,0,51.921,69504.0,2.3076923076923075,64229.09999999999,Senior
1125,57.0,Female,53307.0,38.0,6,2662,3.5,14.0,0,53.307,101156.0,8.444444444444445,86801.29999999999,Senior
1126,39.0,Male,47355.0,35.0,11,3245,5.3,73.0,0,47.355,113575.0,5.555555555555555,93709.0,Middle Age
1127,44.0,Female,24835.0,30.0,14,2091,0.9,15.0,0,24.835,62730.0,15.789473684210527,51361.5,Middle Age
1128,52.0,Female,40159.0,31.0,4,6683,1.9,21.0,0,40.159,207173.0,10.689655172413794,157068.8,Senior
1129,18.0,Male,67605.0,5.0,10,4430,9.9,35.0,0,67.605,22150.0,0.4587155963302752,35786.5,Young
1130,52.0,Female,58088.0,14.0,10,1812,9.7,66.0,0,58.088,25368.0,1.3084112149532712,35184.0,Senior
1131,54.0,Male,98752.0,11.0,13,9977,0.5,91.0,0,98.752,109747.0,7.333333333333333,106448.5,Senior
1132,64.0,Female,75284.0,9.0,13,4811,9.5,2.0,0,75.284,43299.0,0.8571428571428571,52894.5,Senior
1133,31.0,Female,77043.0,34.0,2,7814,6.6,35.0,0,77.043,265676.0,4.473684210526316,209086.09999999998,Adult
1134,20.0,Female,55547.0,12.0,7,2883,8.7,82.0,0,55.547,34596.0,1.2371134020618557,40881.299999999996,Young
1135,18.0,Female,117007.0,35.0,5,3739,4.8,78.0,0,117.007,130865.0,6.0344827586206895,126707.6,Young
1136,22.0,Male,102844.0,35.0,11,2639,5.4,20.0,0,102.844,92365.0,5.46875,95508.69999999998,Young
1137,43.0,Male,47532.0,1.0,6,2204,5.1,82.0,0,47.532,2204.0,0.1639344262295082,15802.4,Middle Age
1138,31.0,Male,54349.0,22.0,2,7424,6.8,10.0,1,54.349,163328.0,2.8205128205128207,130634.29999999999,Adult
1139,56.0,Female,65445.0,29.0,5,862,1.8,25.0,0,65.445,24998.0,10.357142857142858,37132.1,Senior
1140,44.0,Female,25713.0,8.0,10,3104,0.8,66.0,1,25.713,24832.0,4.444444444444445,25096.299999999996,Middle Age
1141,26.0,Female,76178.0,11.0,4,4786,3.4,25.0,1,76.178,52646.0,2.5,59705.59999999999,Adult
1142,32.0,Male,69407.0,37.0,9,4238,7.2,54.0,0,69.407,156806.0,4.51219512195122,130586.29999999999,Adult
1143,32.0,Female,90340.0,14.0,6,2969,2.4,33.0,0,90.34,41566.0,4.11764705882353,56198.2,Adult
1144,43.0,Male,70990.0,30.0,2,5295,6.9,36.0,0,70.99,158850.0,3.7974683544303796,132492.0,Middle Age
1145,59.0,Female,95672.0,35.0,1,6650,9.7,95.0,0,95.672,232750.0,3.2710280373831777,191626.6,Senior
1146,30.0,Male,85545.0,21.0,5,1056,1.4,14.0,0,85.545,22176.0,8.75,41186.7,Adult
1147,49.0,Female,104791.0,37.0,9,9517,6.9,65.0,0,104.791,352129.0,4.6835443037974684,277927.6,Middle Age
1148,56.0,Male,78141.0,5.0,6,3308,4.7,80.0,0,78.141,16540.0,0.8771929824561403,35020.3,Senior
1149,49.0,Male,43793.0,19.0,10,5650,8.7,54.0,0,43.793,107350.0,1.9587628865979383,88282.9,Middle Age
1150,21.0,Female,76570.0,14.0,12,8061,2.2,52.0,0,76.57,112854.0,4.375,101968.79999999999,Young
1151,47.0,Female,115084.0,26.0,7,3219,7.1,3.0,1,115.084,83694.0,3.2098765432098766,93111.0,Middle Age
1152,54.0,Male,57892.0,4.0,5,7006,8.5,99.0,0,57.892,28024.0,0.42105263157894735,36984.399999999994,Senior
1153,40.0,Female,21015.0,25.0,10,4241,9.5,41.0,0,21.015,106025.0,2.380952380952381,80522.0,Middle Age
1154,56.0,Female,81813.0,25.0,6,4498,7.0,6.0,0,81.813,112450.0,3.125,103258.9,Senior
1155,62.0,Female,47712.0,18.0,5,2903,5.2,25.0,1,47.712,52254.0,2.903225806451613,50891.399999999994,Senior
1156,32.0,Male,28415.0,8.0,11,9280,6.4,13.0,0,28.415,74240.0,1.081081081081081,60492.5,Adult
1157,60.0,Male,82292.0,39.0,9,794,8.8,98.0,0,82.292,30966.0,3.9795918367346936,46363.799999999996,Senior
1158,46.0,Male,43833.0,14.0,6,5843,5.9,8.0,0,43.833,81802.0,2.0289855072463765,70411.29999999999,Middle Age
1159,53.0,Male,24158.0,32.0,11,1636,0.8,21.0,0,24.158,52352.0,17.77777777777778,43893.799999999996,Senior
1160,30.0,Male,82680.0,38.0,8,2564,9.3,98.0,0,82.68,97432.0,3.6893203883495143,93006.4,Adult
1161,49.0,Male,40309.0,33.0,2,7509,7.1,68.0,0,40.309,247797.0,4.074074074074074,185550.6,Middle Age
1162,24.0,Female,26970.0,23.0,12,5043,6.9,25.0,1,26.97,115989.0,2.911392405063291,89283.29999999999,Young
1163,39.0,Male,92474.0,15.0,13,1507,2.5,79.0,0,92.474,22605.0,4.285714285714286,43565.7,Middle Age
1164,45.0,Male,106704.0,33.0,9,5945,6.8,68.0,0,106.704,196185.0,4.230769230769231,169340.7,Middle Age
1165,19.0,Female,66540.0,25.0,5,5852,4.2,45.0,0,66.54,146300.0,4.8076923076923075,122372.0,Young
1166,59.0,Female,40384.0,17.0,7,9939,6.7,60.0,1,40.384,168963.0,2.207792207792208,130389.29999999999,Senior
1167,62.0,Male,38017.0,33.0,10,1935,1.5,12.0,1,38.017,63855.0,13.2,56103.6,Senior
1168,23.0,Male,95880.0,2.0,13,1071,6.7,32.0,0,95.88,2142.0,0.2597402597402597,30263.4,Young
1169,45.0,Female,28702.0,14.0,1,2882,10.0,96.0,0,28.702,40348.0,1.2727272727272727,36854.2,Middle Age
1170,45.0,Male,20384.0,39.0,10,9937,1.0,92.0,0,20.384,387543.0,19.5,277395.3,Middle Age
1171,61.0,Male,20404.0,6.0,5,5584,9.8,13.0,1,20.404,33504.0,0.5555555555555555,29574.0,Senior
1172,61.0,Female,60943.0,6.0,12,777,4.4,31.0,0,60.943,4662.0,1.111111111111111,21546.299999999996,Senior
1173,37.0,Female,67926.0,3.0,14,7559,8.8,78.0,0,67.926,22677.0,0.3061224489795918,36251.7,Middle Age
1174,47.0,Male,49189.0,7.0,10,2387,7.9,20.0,0,49.189,16709.0,0.7865168539325842,26453.0,Middle Age
1175,28.0,Male,32763.0,8.0,14,1765,5.9,18.0,0,32.763,14120.0,1.1594202898550725,19712.9,Adult
1176,45.0,Female,38384.0,15.0,2,7991,7.5,93.0,1,38.384,119865.0,1.7647058823529411,95420.7,Middle Age
1177,42.0,Female,80100.0,29.0,12,1540,8.8,60.0,1,80.1,44660.0,2.9591836734693877,55292.0,Middle Age
1178,56.0,Female,118142.0,33.0,6,9609,4.3,63.0,1,118.142,317097.0,6.226415094339623,257410.5,Senior
1179,50.0,Female,29860.0,30.0,11,8573,3.6,6.0,0,29.86,257190.0,6.521739130434783,188991.0,Middle Age
1180,18.0,Male,100642.0,39.0,1,9577,6.8,32.0,0,100.642,373503.0,5.0,291644.69999999995,Young
1181,44.0,Female,70612.0,27.0,3,3252,8.2,93.0,1,70.612,87804.0,2.9347826086956523,82646.4,Middle Age
1182,30.0,Female,43574.0,36.0,5,8713,7.7,43.0,0,43.574,313668.0,4.137931034482759,232639.8,Adult
1183,58.0,Female,43524.0,29.0,4,5069,8.1,2.0,0,43.524,147001.0,3.186813186813187,115957.9,Senior
1184,20.0,Male,89172.0,38.0,3,6853,4.6,60.0,0,89.172,260414.0,6.7857142857142865,209041.4,Young
1185,56.0,Female,30916.0,33.0,10,2853,8.3,23.0,1,30.916,94149.0,3.548387096774193,75179.1,Senior
1186,23.0,Male,24809.0,37.0,13,7937,1.6,83.0,0,24.809,293669.0,14.23076923076923,213011.0,Young
1187,25.0,Female,52201.0,27.0,5,5299,5.7,31.0,1,52.201,143073.0,4.029850746268656,115811.4,Young
1188,44.0,Female,73330.0,33.0,11,1186,0.6,5.0,1,73.33,39138.0,20.625,49395.6,Middle Age
1189,26.0,Male,33456.0,4.0,8,8976,3.6,83.0,0,33.456,35904.0,0.8695652173913044,35169.6,Adult
1190,54.0,Female,76397.0,22.0,11,5311,4.0,34.0,1,76.397,116842.0,4.4,104708.5,Senior
1191,50.0,Female,58765.0,2.0,4,9454,4.3,10.0,1,58.765,18908.0,0.37735849056603776,30865.1,Middle Age
1192,59.0,Female,54816.0,10.0,1,5846,7.1,89.0,0,54.816,58460.0,1.234567901234568,57366.8,Senior
1193,61.0,Male,65106.0,5.0,11,5543,4.2,2.0,1,65.106,27715.0,0.9615384615384615,38932.3,Senior
1194,41.0,Female,73932.0,10.0,7,2928,4.8,11.0,1,73.932,29280.0,1.7241379310344829,42675.6,Middle Age
1195,32.0,Female,37100.0,33.0,8,5626,2.8,50.0,0,37.1,185658.0,8.68421052631579,141090.59999999998,Adult
1196,49.0,Female,77091.0,38.0,3,8720,4.0,31.0,1,77.091,331360.0,7.6,255079.29999999996,Middle Age
1197,49.0,Female,41949.0,13.0,6,9598,2.7,56.0,1,41.949,124774.0,3.513513513513513,99926.49999999999,Middle Age
1198,41.0,Female,90080.0,31.0,2,8313,1.2,79.0,0,90.08,257703.0,14.09090909090909,207416.09999999998,Middle Age
1199,58.0,Male,57744.0,36.0,7,3856,6.2,73.0,0,57.744,138816.0,5.0,114494.4,Senior
1200,29.0,Female,65543.0,24.0,8,9207,6.8,87.0,1,65.543,220968.0,3.076923076923077,174340.49999999997,Adult
1201,56.0,Male,112193.0,15.0,6,7766,6.4,83.0,1,112.193,116490.0,2.0270270270270268,115200.9,Senior
1202,19.0,Male,56187.0,29.0,6,7040,4.9,9.0,1,56.187,204160.0,4.915254237288135,159768.1,Young
1203,20.0,Male,27239.0,8.0,5,538,4.1,99.0,0,27.239,4304.0,1.5686274509803924,11184.5,Young
1204,54.0,Female,34489.0,5.0,8,3842,8.7,21.0,1,34.489,19210.0,0.5154639175257733,23793.699999999997,Senior
1205,34.0,Female,78017.0,29.0,1,9578,5.4,73.0,0,78.017,277762.0,4.53125,217838.5,Adult
1206,19.0,Male,81877.0,4.0,10,3344,5.1,28.0,1,81.877,13376.0,0.6557377049180328,33926.299999999996,Young
1207,19.0,Female,63125.0,12.0,4,1598,0.7,62.0,0,63.125,19176.0,7.0588235294117645,32360.699999999997,Young
1208,45.0,Male,69922.0,2.0,4,7527,3.7,7.0,0,69.922,15054.0,0.425531914893617,31514.399999999998,Middle Age
1209,40.0,Female,114074.0,27.0,3,2323,4.1,80.0,0,114.074,62721.0,5.294117647058824,78126.9,Middle Age
1210,54.0,Female,52049.0,31.0,3,3655,4.3,16.0,0,52.049,113305.0,5.849056603773585,94928.2,Senior
1211,49.0,Female,57131.0,36.0,4,3593,6.0,97.0,0,57.131,129348.0,5.142857142857143,107682.9,Middle Age
1212,50.0,Male,62944.0,36.0,11,6158,5.6,4.0,0,62.944,221688.0,5.454545454545455,174064.8,Middle Age
1213,18.0,Female,93963.0,26.0,1,4278,6.3,4.0,1,93.963,111228.0,3.5616438356164384,106048.49999999999,Young
1214,36.0,Male,44285.0,27.0,14,3396,7.8,40.0,0,44.285,91692.0,3.068181818181818,77469.9,Middle Age
1215,19.0,Male,57626.0,5.0,11,1488,8.2,17.0,1,57.626,7440.0,0.5434782608695653,22495.8,Young
1216,61.0,Male,62808.0,20.0,13,4616,7.3,52.0,1,62.808,92320.0,2.4096385542168672,83466.4,Senior
1217,43.0,Male,108464.0,11.0,11,6946,9.6,93.0,1,108.464,76406.0,1.0377358490566038,86023.4,Middle Age
1218,49.0,Male,73871.0,10.0,2,4679,0.7,52.0,0,73.871,46790.0,5.882352941176471,54914.299999999996,Middle Age
1219,23.0,Male,39198.0,38.0,9,2182,2.4,36.0,0,39.198,82916.0,11.176470588235295,69800.59999999999,Young
1220,49.0,Female,39758.0,6.0,10,6126,0.6,38.0,1,39.758,36756.0,3.75,37656.6,Middle Age
1221,21.0,Male,35254.0,8.0,2,7924,6.7,50.0,1,35.254,63392.0,1.0389610389610389,54950.59999999999,Young
1222,28.0,Male,64238.0,23.0,5,1433,9.0,63.0,0,64.238,32959.0,2.3,42342.7,Adult
1223,34.0,Male,21252.0,26.0,9,4098,2.8,63.0,1,21.252,106548.0,6.842105263157895,80959.2,Adult
1224,55.0,Female,59764.0,12.0,9,2480,9.3,62.0,0,59.764,29760.0,1.1650485436893203,38761.2,Senior
1225,41.0,Male,97709.0,26.0,8,3556,1.1,99.0,0,97.709,92456.0,12.38095238095238,94031.9,Middle Age
